Departamento,Provincia,Municipio,Ciudad / Comunidad,Total Asistencia Escolar,"Si, auna pública","Si, a una privada","Si, a una de convenio",No asiste,Sin especificar,Total Idioma Aprendido,Castellano,Quechua,Aymara,Guaraní,Otros Idiomas Oficiales,Otros Idiomas,Idioma extranjero,Sin especificar,No habla
La Paz,Murillo,La Paz,HUARI CUNCA,1,0,0,0,1,0,8,2,0,6,0,0,0,0,0,0
La Paz,Murillo,La Paz,CHUQUINI,9,4,0,3,2,0,139,78,10,47,0,0,0,0,0,4
La Paz,Murillo,La Paz,CIELO JAHUIRA,12,5,0,1,4,2,65,30,0,32,0,0,0,0,3,0
La Paz,Murillo,La Paz,MONTE OLIVO,13,8,4,0,0,1,66,44,4,14,0,0,0,0,1,3
La Paz,Murillo,La Paz,TAMBO PATA,2,1,0,0,1,0,26,0,0,26,0,0,0,0,0,0
La Paz,Murillo,La Paz,ESMERALDA,42,42,0,0,0,0,151,46,6,94,0,0,0,0,0,5
La Paz,Murillo,La Paz,ISLANI BAJO,17,10,6,0,1,0,54,31,0,20,0,0,0,0,1,2
La Paz,Murillo,La Paz,LLUSIJACHI,2,2,0,0,0,0,14,5,4,5,0,0,0,0,0,0
La Paz,Murillo,La Paz,SEGUNDA ESPERANZA,2,2,0,0,0,0,9,6,1,2,0,0,0,0,0,0
La Paz,Murillo,La Paz,INGAVI,8,8,0,0,0,0,48,26,7,14,0,0,0,0,0,1
La Paz,Murillo,La Paz,APANA,129,106,0,4,19,0,416,322,23,62,0,0,0,0,4,5
La Paz,Murillo,La Paz,CHUCURA ALTO,32,24,1,0,6,1,108,6,0,99,0,0,0,0,0,3
La Paz,Murillo,La Paz,ILLAMPU,3,3,0,0,0,0,19,0,0,18,0,0,0,0,1,0
La Paz,Murillo,La Paz,SAN JORGE SEGUNDO,10,3,0,0,6,1,35,22,0,9,0,0,0,0,2,2
La Paz,Murillo,La Paz,URUJARA,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0
La Paz,Murillo,La Paz,CHURURAQUI,5,1,3,0,1,0,20,18,0,0,0,0,0,0,0,2
La Paz,Murillo,La Paz,NUEVA ESPERANZA,3,0,0,0,3,0,13,0,12,1,0,0,0,0,0,0
La Paz,Murillo,La Paz,HUAYRAPTA,9,4,0,1,3,1,35,7,1,22,0,0,0,0,0,5
La Paz,Murillo,La Paz,SUSUPI,2,0,0,1,1,0,10,3,0,7,0,0,0,0,0,0
La Paz,Murillo,La Paz,WILACOTA,17,11,4,0,2,0,67,20,2,44,0,0,0,0,1,0
La Paz,Murillo,La Paz,TIRMA,46,24,1,1,20,0,190,89,1,92,0,0,0,0,2,6
La Paz,Murillo,Palca,AMACHUMA CHICO,17,14,0,0,3,0,52,35,1,14,0,0,0,0,0,2
La Paz,Murillo,Palca,AMACHUMA GRANDE,87,55,1,3,28,0,261,70,0,173,0,0,0,0,1,17
La Paz,Murillo,Palca,CALCHANI,48,35,5,1,7,0,201,25,0,159,0,0,0,0,12,5
La Paz,Murillo,Palca,CAMIRAYA,49,42,0,0,7,0,157,58,0,90,0,0,0,0,1,8
La Paz,Murillo,Palca,CHOQUECOTA,242,177,4,0,59,2,695,179,1,459,0,0,0,0,5,51
La Paz,Murillo,Palca,CHUJUNI,36,24,0,1,8,3,105,14,1,82,0,0,0,0,5,3
La Paz,Murillo,Palca,CHULLO,58,49,3,3,3,0,172,63,1,100,0,0,0,0,3,5
La Paz,Murillo,Palca,HUACAHUACANI,29,27,0,1,1,0,107,13,0,53,0,7,0,0,32,2
La Paz,Murillo,Palca,JUKUMARCA,40,33,2,1,4,0,153,26,0,120,0,0,0,0,0,7
La Paz,Murillo,Palca,KARSI,41,36,0,1,4,0,151,8,0,136,0,0,0,0,0,7
La Paz,Murillo,Palca,PACUANI,112,95,0,0,17,0,348,14,2,316,0,0,0,0,1,15
La Paz,Murillo,Palca,SEGUENCANI,36,26,0,0,10,0,150,12,0,134,0,0,0,0,0,4
La Paz,Murillo,Palca,TACAPAYA,66,55,0,0,10,1,235,44,0,175,0,0,0,0,6,10
La Paz,Murillo,Palca,TARUJIRI,61,53,0,0,8,0,195,19,0,167,0,0,0,0,1,8
La Paz,Murillo,Palca,TUHUACO,102,87,0,1,13,1,359,81,0,268,0,0,0,0,2,8
La Paz,Murillo,Palca,UNI,435,362,6,6,58,3,1188,549,5,551,0,5,0,1,44,33
La Paz,Murillo,Palca,LA ENCONADA,33,28,1,0,3,1,139,112,1,20,0,1,0,0,2,3
La Paz,Murillo,Palca,PALCA,235,178,10,3,42,2,796,545,5,206,0,0,0,0,5,35
La Paz,Murillo,Palca,HUAYLLARAVI,16,11,0,0,5,0,98,14,0,80,0,0,0,0,0,4
La Paz,Murillo,Palca,HUANCA PAMPA,42,37,0,0,5,0,135,93,0,41,0,0,0,0,0,1
La Paz,Murillo,Palca,PUQUISE,25,18,1,0,4,2,91,15,1,70,0,0,0,0,2,3
La Paz,Murillo,Palca,MOLINOS RETAMANI,34,31,0,0,3,0,125,39,0,79,0,0,0,0,2,5
La Paz,Murillo,Palca,KATUPAYA,3,3,0,0,0,0,21,8,0,13,0,0,0,0,0,0
La Paz,Murillo,Palca,VILLA ASUNCION,8,5,0,0,3,0,32,17,0,13,0,0,0,0,0,2
La Paz,Murillo,Palca,BELLA VISTA,16,15,0,1,0,0,34,0,0,11,0,0,0,0,21,2
La Paz,Murillo,Palca,CAYIMBAYA,125,94,8,5,17,1,472,76,1,361,0,0,0,0,12,22
La Paz,Murillo,Palca,QUILLIHUAYA,114,96,3,1,13,1,372,99,0,260,0,0,0,0,3,10
La Paz,Murillo,Palca,COHONI,264,218,2,0,40,4,1084,220,2,769,2,3,0,3,59,26
La Paz,Murillo,Palca,ACHOJPAYA,18,15,0,0,3,0,114,51,2,57,0,0,0,0,0,4
La Paz,Murillo,Palca,ATAHUALLANI,81,60,0,5,14,2,253,49,0,192,0,0,0,0,4,8
La Paz,Murillo,Palca,CACHAPAYA,139,104,1,2,32,0,488,99,0,361,0,0,0,0,6,22
La Paz,Murillo,Palca,CHALLASIRCA,97,84,0,1,10,2,290,51,0,224,0,0,0,0,4,11
La Paz,Murillo,Palca,CHAÑURANI,26,24,0,0,2,0,114,45,0,65,0,0,0,0,2,2
La Paz,Murillo,Palca,CHOJAHUAYA,91,71,0,1,19,0,288,35,0,245,0,0,0,0,1,7
La Paz,Murillo,Palca,CHOTOCOLLO,46,29,1,1,15,0,134,90,0,41,0,0,0,0,0,3
La Paz,Murillo,Palca,HUARIMUTUHUAYA,31,27,0,1,3,0,93,10,0,81,0,0,0,0,1,1
La Paz,Murillo,Palca,HUSSI,91,64,4,0,23,0,324,158,3,143,0,0,0,0,3,17
La Paz,Murillo,Palca,JALANCHA,22,19,0,0,3,0,53,0,0,53,0,0,0,0,0,0
La Paz,Murillo,Palca,JUCUMARINI,14,10,0,0,4,0,40,18,0,20,0,0,0,0,0,2
La Paz,Murillo,Palca,KARIPO,39,32,1,0,5,1,143,46,0,88,0,0,0,0,1,8
La Paz,Murillo,Palca,LA GLORIETA,2,2,0,0,0,0,17,2,0,14,0,0,0,0,1,0
La Paz,Murillo,Palca,LA ENCONADA,21,16,0,0,5,0,100,13,1,77,0,0,0,0,0,9
La Paz,Murillo,Palca,LLUJO,131,107,1,1,22,0,387,15,0,355,0,1,0,0,5,11
La Paz,Murillo,Palca,LURATA,36,32,0,0,4,0,109,84,1,21,0,0,0,0,0,3
La Paz,Murillo,Palca,MUTUHUAYA,208,152,4,3,49,0,667,51,1,584,0,0,0,0,8,23
La Paz,Murillo,Palca,TAHUAPALCA,82,72,2,1,7,0,276,181,1,79,0,0,0,0,2,13
La Paz,Murillo,Palca,TANINPATA,38,29,2,0,6,1,248,64,1,168,0,0,0,0,2,13
La Paz,Murillo,Palca,YARICACHI,67,56,1,0,10,0,207,16,2,180,0,0,0,0,1,8
La Paz,Murillo,Palca,COTAÑA,177,143,3,7,21,3,488,147,1,199,0,6,0,0,98,37
La Paz,Murillo,Palca,KHAPI,67,59,1,1,6,0,249,50,0,191,0,0,0,0,1,7
La Paz,Murillo,Palca,LA GRANJA,49,32,1,0,7,9,149,87,1,56,0,0,0,0,1,4
La Paz,Murillo,Palca,NUEVA ESPERANZA,35,32,2,1,0,0,80,47,0,33,0,0,0,0,0,0
La Paz,Murillo,Palca,PUCAYA,44,39,0,1,4,0,179,46,1,126,0,0,0,0,0,6
La Paz,Murillo,Palca,CEBOLLULLO,131,118,3,0,9,1,390,204,2,172,0,0,0,0,2,10
La Paz,Murillo,Palca,EL CHORO,40,29,1,0,9,1,172,65,2,90,0,0,0,0,5,10
La Paz,Murillo,Palca,TIRATA,86,56,5,1,16,8,290,227,0,56,0,0,0,0,3,4
