Departamento,Provincia,Municipio,Ciudad / Comunidad,Total,Cañería de red,Pileta pública,Carro repartidor (aguatero),Pozo o noria con bomba,Pozo o noria sin bomba,"Lluvia, río, vertiente, acequia","Lago, laguna, curichi",Total,Al alcantarillado,A una cámara séptica,A un pozo ciego,A la calle,"A la quebrada, río","A un lago, laguna, curichi",Total,Red de empresa eléctrica (servicio público),Motor propio,Panel solar,Otra,No tiene
Chuquisaca,Oropeza,Sucre,SAN ANTONIO,30,1,0,0,0,0,29,0,1,1,0,0,0,0,0,30,1,1,0,28,0
Chuquisaca,Oropeza,Sucre,CHULLCHUTA,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28,0,0,0,0,28
Chuquisaca,Oropeza,Sucre,LECOPAYA,45,14,17,0,0,1,5,8,0,0,0,0,0,0,0,45,16,0,0,0,29
Chuquisaca,Oropeza,Sucre,PICACHULO,98,21,9,0,0,1,67,0,1,0,0,1,0,0,0,98,1,0,0,24,73
Chuquisaca,Oropeza,Sucre,GUZMAN,27,0,0,0,0,0,27,0,2,0,0,2,0,0,0,27,0,3,0,0,24
Chuquisaca,Oropeza,Sucre,CAJAMARCA,50,16,0,0,1,0,33,0,7,0,0,7,0,0,0,50,0,0,2,0,48
Chuquisaca,Oropeza,Sucre,KUSILLO,52,3,1,0,0,5,43,0,1,0,0,1,0,0,0,52,1,0,0,0,51
Chuquisaca,Oropeza,Sucre,PUNILLA,45,27,4,0,0,0,14,0,16,0,2,14,0,0,0,45,27,1,0,3,14
Chuquisaca,Oropeza,Sucre,QHOCHAPATA,40,11,3,0,2,1,21,2,2,0,2,0,0,0,0,40,11,1,1,0,27
Chuquisaca,Oropeza,Sucre,YURUBAMBA,39,0,0,0,0,0,37,2,0,0,0,0,0,0,0,39,0,0,0,0,39
Chuquisaca,Oropeza,Sucre,MAMA HUASI,23,4,1,0,4,0,14,0,0,0,0,0,0,0,0,23,0,0,1,0,22
Chuquisaca,Oropeza,Sucre,MAJADA,20,2,1,0,0,1,16,0,0,0,0,0,0,0,0,20,0,0,1,0,19
Chuquisaca,Oropeza,Sucre,SOCA PAMPA,34,2,0,0,0,0,32,0,0,0,0,0,0,0,0,34,0,0,0,0,34
Chuquisaca,Oropeza,Sucre,ULUPICAS,20,0,3,0,0,0,17,0,0,0,0,0,0,0,0,20,0,0,0,0,20
Chuquisaca,Oropeza,Sucre,MARAGUA,111,24,8,0,0,5,52,22,5,0,0,5,0,0,0,111,45,0,0,0,66
Chuquisaca,Oropeza,Sucre,THONTORKA,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,13,0,0,0,8
Chuquisaca,Oropeza,Sucre,HUMACA,80,0,1,0,0,7,72,0,0,0,0,0,0,0,0,80,2,0,0,0,78
Chuquisaca,Oropeza,Sucre,MELGARAJUY,27,8,0,0,0,1,18,0,0,0,0,0,0,0,0,27,0,0,0,0,27
